data_iniSE,casos_2605103,casos_2601607,casos_2601706,casos_2601805,casos_2602100,casos_2607109,casos_2603108,casos_2607307,casos_2607505,casos_2615805,casos_2605004,casos_2605152,casos_2600054,casos_2606705,casos_2600104,casos_2600302,casos_2601003,casos_2600401,casos_2600609,casos_2600708,casos_2600807,casos_2600906,casos_2601052,casos_2606804,casos_2601102,casos_2601201,casos_2601300,casos_2601409,casos_2601508,casos_2601904,casos_2602001,casos_2602209,casos_2602308,casos_2602407,casos_2602506,casos_2602605,casos_2602704,casos_2602803,casos_2602902,casos_2603207,casos_2603306,casos_2603405,casos_2603454,casos_2603504,casos_2603603,casos_2603702,casos_2603801,casos_2603900,casos_2603926,casos_2604007,casos_2608305,casos_2604106,casos_2604155,casos_2604205,casos_2604304,casos_2604403,casos_2604502,casos_2604601,casos_2605905,casos_2604700,casos_2604809,casos_2604908,casos_2605202,casos_2605608,casos_2605301,casos_2605400,casos_2605459,casos_2605509,casos_2605806,casos_2606002,casos_2606101,casos_2606200,casos_2606309,casos_2606408,casos_2606507,casos_2606606,casos_2607208,casos_2607406,casos_2607604,casos_2607653,casos_2607703,casos_2607752,casos_2607802,casos_2608503,casos_2607901,casos_2607950,casos_2610509,casos_2608008,casos_2608057,casos_2609105,casos_2608107,casos_2608206,casos_2608255,casos_2608404,casos_2608453,casos_2608602,casos_2608701,casos_2608800,casos_2608909,casos_2609006,casos_2609154,casos_2609204,casos_2609303,casos_2609402,casos_2609501,casos_2609600,casos_2609709,casos_2609808,casos_2610004,casos_2610103,casos_2610202,casos_2610301,casos_2613107,casos_2610608,casos_2611408,casos_2610707,casos_2610806,casos_2610905,casos_2611200,casos_2611309,casos_2611507,casos_2611606,casos_2611705,casos_2611804,casos_2612406,casos_2611903,casos_2612000,casos_2612109,casos_2612307,casos_2612471,casos_2612505,casos_2612703,casos_2612802,casos_2612901,casos_2614857,casos_2613008,casos_2613206,casos_2613305,casos_2613404,casos_2614808,casos_2613602,casos_2615904,casos_2613701,casos_2613800,casos_2614204,casos_2615607,casos_2614402,casos_2614501,casos_2614600,casos_2614709,casos_2615003,casos_2615102,casos_2615300,casos_2615409,casos_2615508,casos_2615706,casos_2616001,casos_2616100,casos_2616183,casos_2616209,casos_2616308,casos_2616407,casos_2616506,casos_2612455,casos_2608750,casos_2609907,casos_2600203,casos_2600500,casos_2603009,casos_2605707,casos_2606903,casos_2607000,casos_2612554,casos_2612604,casos_2610400,casos_2611002,casos_2611101,casos_2613503,casos_2613909,casos_2614006,casos_2614105,casos_2615201,casos_2611533,casos_2612208,casos_2614303
2012-07-29,0,0,4,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,2,1,0,0,0,7,0,7,1,0,0,0,1,0,3,0,0,0,0,0,45,0,0,0,1,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,37,1,1,0,4,0,0,20,0,1,3,0,0,0,0,54,0,0,1,0,1,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,14,0,0,2,0,0,0,0,0,0,7,0,4,0,0,0,74,0,1,0,3,0,0,0,0,3,1,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,5,0,2,0,2,0,,3,0
2012-08-05,0,0,6,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,1,0,0,0,8,1,1,0,0,1,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,1,1,13,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,12,0,2,0,1,0,0,13,0,1,2,0,9,1,0,39,0,0,1,1,0,1,1,1,0,0,0,0,0,1,3,0,0,0,1,0,27,2,0,0,0,0,1,0,0,0,19,0,0,0,2,0,60,0,0,1,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,,4,0
2012-08-12,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,1,2,0,0,1,0,1,0,1,17,0,1,0,1,0,0,0,0,1,0,1,0,10,0,0,1,0,0,1,0,4,0,0,5,0,0,0,1,0,0,7,1,3,0,0,0,0,8,0,1,3,0,8,2,0,42,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,29,0,0,0,1,1,0,0,1,0,15,0,0,0,2,0,59,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,,4,0
2012-08-19,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,5,1,8,1,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,14,3,2,0,1,0,0,11,0,0,0,0,3,3,0,31,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,15,0,2,0,0,0,61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,,1,0
2012-08-26,0,0,2,0,0,0,0,0,0,0,0,0,8,0,3,0,1,1,0,0,0,1,0,5,0,1,0,0,0,0,1,0,1,1,0,1,0,1,21,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,4,0,0,7,0,0,2,0,7,3,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,0,1,0,0,0,6,0,0,0,2,0,54,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,,0,0
2012-09-02,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,5,0,0,2,0,4,1,0,19,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,46,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,,4,0
2012-09-09,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,7,1,7,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,4,0,0,5,0,1,0,0,4,0,0,19,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,51,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,2,0,0,0,,2,0
2012-09-16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,6,0,0,0,0,4,1,0,21,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,53,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,,0,0
2012-09-23,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,3,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,5,1,0,2,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,1,0,0,0,3,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,2,0
2012-09-30,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,1,0,0,5,0,1,1,0,0,2,0,12,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,,1,0
2012-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,,1,1
2012-10-14,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,2,0,0,0,0,10,0,1,0,0,0,1,0,15,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0
2012-10-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,0,0,0,2,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1,0
2012-10-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,,2,0
2012-11-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,6,0
2012-11-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,,3,0
2012-11-18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8,1,5,0,2,0,0,3,0,0,1,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,,3,0
2012-11-25,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,,1,0
2012-12-02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
2012-12-09,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0
2012-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2,0
2012-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2012-12-30,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,3,0
2013-01-06,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,1,0,0,7,0,0,0,2,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,42,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,0,,4,0
2013-01-13,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,8,0,0,0,1,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,49,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,1,1,,7,0
2013-01-20,1,1,1,0,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,9,0,12,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,2,0,1,0,0,7,0,0,0,1,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,39,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,2,1,,6,0
2013-01-27,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0,1,1,0,1,1,0,18,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,2,1,0,0,1,2,0,7,1,2,0,0,0,35,0,0,0,1,0,2,0,0,4,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,1,0,,3,0
2013-02-03,1,0,1,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,1,0,1,0,0,4,5,0,0,0,0,1,1,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,9,0,0,3,0,1,0,0,14,0,13,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,47,1,1,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,1,0,0,,2,0
2013-02-10,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,9,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,2,0,1,0,0,5,0,1,0,1,0,0,0,18,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,0,0,1,2,0,0,0,0,0,4,2,0,0,1,0,67,0,0,2,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,0,2,0,0,,1,0
2013-02-17,2,0,0,0,0,2,0,1,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,3,0,0,0,1,1,0,5,0,10,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,1,9,0,0,0,1,1,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,7,0,0,0,3,0,9,4,1,0,2,0,65,0,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,11,3,1,5,0,,2,1
2013-02-24,2,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,1,0,0,9,0,3,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,11,0,10,6,0,0,0,0,4,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,1,0,0,13,0,0,3,1,5,2,0,31,0,7,0,2,2,0,0,0,4,1,0,0,0,3,7,0,0,0,0,0,16,0,0,0,4,0,0,0,1,0,6,2,1,0,1,1,83,0,0,1,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,2,0,0,0,8,8,1,0,3,0,,4,0
2013-03-03,1,0,6,0,0,0,0,2,0,0,1,0,14,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,2,0,0,0,0,0,3,0,22,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,2,2,2,2,0,1,19,0,0,8,1,0,0,1,37,1,0,0,2,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,18,1,0,0,0,0,0,0,3,0,7,1,1,0,0,1,73,0,0,1,0,0,0,0,0,20,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,1,0,2,0,,3,0
2013-03-10,1,0,9,0,0,1,0,0,0,0,2,0,12,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,2,1,3,0,0,0,0,2,19,2,0,0,0,0,0,4,0,0,0,18,0,10,2,2,0,0,1,0,1,0,0,1,4,0,0,0,4,0,0,3,1,12,0,2,0,6,17,0,1,9,0,1,1,0,40,1,2,1,3,3,0,0,0,5,0,0,0,1,2,3,0,0,1,1,0,34,0,0,0,0,0,0,2,0,1,17,0,1,0,0,0,94,1,0,4,2,0,0,0,0,20,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,5,1,0,1,0,,1,3
