data_iniSE,casos_2509156,casos_2516151,casos_2500106,casos_2500205,casos_2500304,casos_2500403,casos_2500502,casos_2500577,casos_2500601,casos_2500734,casos_2500775,casos_2500809,casos_2500908,casos_2501005,casos_2501104,casos_2501153,casos_2501203,casos_2501302,casos_2503902,casos_2501351,casos_2501401,casos_2501500,casos_2501609,casos_2501807,casos_2501906,casos_2502052,casos_2502102,casos_2503001,casos_2502151,casos_2502201,casos_2502300,casos_2502409,casos_2502508,casos_2502607,casos_2502706,casos_2502805,casos_2502904,casos_2504702,casos_2503100,casos_2503209,casos_2503308,casos_2503407,casos_2507200,casos_2503506,casos_2505501,casos_2503555,casos_2503605,casos_2503704,casos_2503753,casos_2503803,casos_2504033,casos_2504074,casos_2504108,casos_2507903,casos_2504157,casos_2504207,casos_2504306,casos_2504355,casos_2508000,casos_2504504,casos_2504603,casos_2504801,casos_2504850,casos_2504900,casos_2505006,casos_2505105,casos_2505238,casos_2505279,casos_2505303,casos_2505352,casos_2505402,casos_2505709,casos_2505808,casos_2507309,casos_2505907,casos_2506004,casos_2506103,casos_2506202,casos_2506251,casos_2506301,casos_2506400,casos_2506509,casos_2506608,casos_2506707,casos_2506806,casos_2506905,casos_2507002,casos_2507101,casos_2507408,casos_2507507,casos_2507606,casos_2507705,casos_2507804,casos_2508109,casos_2508208,casos_2508307,casos_2508406,casos_2508505,casos_2508604,casos_2508703,casos_2508802,casos_2508901,casos_2509404,casos_2509602,casos_2509008,casos_2509057,casos_2509107,casos_2509503,casos_2509206,casos_2509305,casos_2509339,casos_2509370,casos_2509396,casos_2509800,casos_2509909,casos_2510006,casos_2510105,casos_2510204,casos_2510303,casos_2510501,casos_2510600,casos_2510402,casos_2510659,casos_2510709,casos_2510907,casos_2511004,casos_2511202,casos_2511301,casos_2511400,casos_2511509,casos_2511608,casos_2511707,casos_2511806,casos_2511905,casos_2512036,casos_2512077,casos_2512200,casos_2512408,casos_2512606,casos_2512705,casos_2501534,casos_2504405,casos_2512721,casos_2512747,casos_2512754,casos_2512762,casos_2512788,casos_2515203,casos_2512804,casos_2513653,casos_2512903,casos_2513000,casos_2513109,casos_2513901,casos_2513158,casos_2513208,casos_2513307,casos_2513356,casos_2513406,casos_2513505,casos_2513604,casos_2513703,casos_2514008,casos_2513851,casos_2513927,casos_2513943,casos_2513968,casos_2513984,casos_2514206,casos_2514305,casos_2514404,casos_2514453,casos_2516904,casos_2514503,casos_2514552,casos_2514602,casos_2514651,casos_2514701,casos_2514800,casos_2514909,casos_2515005,casos_2515104,casos_2515302,casos_2515401,casos_2515500,casos_2515609,casos_2516102,casos_2515708,casos_2515807,casos_2515906,casos_2515930,casos_2516003,casos_2516201,casos_2516300,casos_2516409,casos_2516508,casos_2517001,casos_2516607,casos_2516706,casos_2516755,casos_2516805,casos_2517100,casos_2517209,casos_2517407,casos_2500536,casos_2500700,casos_2501575,casos_2501708,casos_2502003,casos_2504009,casos_2505204,casos_2505600,casos_2509701,casos_2510808,casos_2511103,casos_2512002,casos_2512101,casos_2512309,casos_2512507,casos_2514107,casos_2513802,casos_2515971,casos_2508554
2019-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2020-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,1,0
2020-01-12,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,2,0,0,0,0
2020-01-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,3,3,2,0,0,0,0
2020-01-26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,3,0,0,1,4,0,0,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,0
2020-02-09,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,3,2,0,0,0,0
2020-02-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,103,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-02-23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,118,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,4,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,0,0,2,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0
2020-03-08,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,87,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,1,0,1,0,0,1,0
2020-03-15,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,9,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,1,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,16,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,2,2,1,1,0,0,0,1,0,0,17,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,10,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,13,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,16,0,0,0,0,0,0
2020-04-19,0,0,1,0,0,0,0,1,0,0,0,0,0,7,1,0,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,21,0,1,0,0,6,0,0,3,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,20,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,1,3,1,3,44,1,0,0,0,0,0
2020-04-26,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,2,0,1,0,0,4,2,1,0,31,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,15,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,39,0,2,0,0,0,0
2020-05-03,0,0,0,0,2,1,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,2,4,3,0,0,0,0,3,0,0,0,21,0,1,0,0,4,1,0,1,0,0,1,3,0,0,4,0,1,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,1,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,0,0,1,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,1,0,3,2,35,0,1,0,0,0,0
2020-05-10,0,0,1,0,2,2,0,1,0,0,0,0,0,4,0,0,3,0,1,0,0,8,1,0,0,0,0,0,3,1,0,0,21,0,1,1,0,6,1,0,1,0,0,6,7,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,3,7,0,0,1,0,0,0,0,1,0,4,4,1,2,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,6,0,0,10,0,0,0,0,0,2,2,0,0,0,4,1,0,0,0,0,3,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,32,0,0,3,1,2,5,29,0,3,0,0,0,0
2020-05-17,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,5,3,0,0,0,0,0,1,0,0,0,21,0,14,4,0,5,3,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,7,2,1,0,0,0,0,0,0,0,6,3,0,2,0,1,0,0,0,4,0,0,17,0,0,0,0,0,1,10,1,0,0,3,13,0,1,0,0,18,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,4,4,0,0,0,0,0,7,0,0,2,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,19,0,0,2,1,0,1,19,0,14,0,0,0,0
2020-05-24,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,8,6,1,0,1,0,0,3,3,0,0,15,0,13,3,0,0,2,0,1,0,0,1,4,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,2,0,0,0,0,0,0,1,1,3,10,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,6,4,0,0,0,17,3,0,6,0,0,11,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,10,0,0,0,0,0,3,0,0,4,1,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,21,0,0,0,1,3,0,15,0,10,0,0,0,0
2020-05-31,0,0,0,0,3,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,3,2,0,0,1,0,0,2,0,2,0,16,0,4,2,0,6,1,0,5,0,0,2,4,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,1,1,0,1,27,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,13,0,0,0,0,0,1,1,0,8,3,0,0,0,0,0,0,0,7,0,1,10,0,0,0,0,0,3,3,0,1,0,2,9,1,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,2,0,2,2,11,0,24,0,0,0,0
2020-06-07,0,1,0,0,1,0,0,0,0,0,0,10,0,3,3,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,6,0,8,2,0,0,1,2,2,0,0,0,11,0,0,3,0,3,0,0,0,1,0,0,0,8,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,1,1,2,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,5,1,0,10,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,29,0,0,1,0,0,3,5,0,15,0,0,0,0
2020-06-14,0,1,0,0,2,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,2,1,1,1,0,2,0,1,2,0,0,3,0,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,6,2,2,9,0,0,0,0,0,2,2,0,0,0,3,6,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,34,0,0,2,2,0,2,9,0,21,0,0,0,0
2020-06-21,0,0,1,0,3,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,2,1,2,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,4,2,0,1,0,0,0,0,1,6,0,1,8,0,1,0,0,0,1,1,1,1,0,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,33,0,0,3,1,0,6,6,0,14,0,0,2,0
